id,title,url,artistUrl,artistName,artistId,"completitionYear""57727444edc2cb3880cb7bf6""",Mona Lisa,mona-lisa,leonardo-da-vinci,Leonardo da Vinci,57726d85edc2cb3880b48ccd,1519
5772716cedc2cb3880c1907f,The Starry Night,the-starry-night-1889,vincent-van-gogh,Vincent van Gogh,57726d82edc2cb3880b486a0,1889,,,,,,
57727593edc2cb3880ceb255,In Bed+ The Kiss,in-bed-the-kiss-1892,henri-de-toulouse-lautrec,Henri de Toulouse-Lautrec,57726d86edc2cb3880b48f5d,1892,,,,,,
57726e7bedc2cb3880b7466a,The Birth of Venus,the-birth-of-venus-1485,sandro-botticelli,Sandro Botticelli,57726d7dedc2cb3880b47c88,1485,,,,,,
577271f9edc2cb3880c37dcd,The School of Athens,school-of-athens-detail-from-right-hand-side-showing-diogenes-on-the-steps-and-euclid-1511,raphael,Raphael,57726d83edc2cb3880b487fe,1511,,,,,,
5772722cedc2cb3880c42b1a,Camille Monet and a Child in the Artist???Garden in Argenteuil,madame-monet-and-child,claude-monet,Claude Monet,57726d83edc2cb3880b488f1,1875,,,,,,
57726e2fedc2cb3880b61c00,Composition A,composition-a-1923,piet-mondrian,Piet Mondrian,57726d7bedc2cb3880b47ad4,1923,,,,,,
57726ee7edc2cb3880b8b06b,The Kiss,the-kiss-1908,gustav-klimt,Gustav Klimt,57726d7eedc2cb3880b47e13,1908,,,,,,
5772722aedc2cb3880c427ca,Impression+ sunrise,impression-sunrise,claude-monet,Claude Monet,57726d83edc2cb3880b488f1,1872,,,,,,
577272dcedc2cb3880c6a79b,Basket of Apples,still-life-with-bottle-and-apple-basket-1894,paul-cezanne,Paul Cezanne,57726d84edc2cb3880b48a5b,1895,,,,,,
577274deedc2cb3880ccdd2b,Job,job-1896,alphonse-mucha,Alphonse Mucha,57726d85edc2cb3880b48df8,1896,,,,,,
57726f04edc2cb3880b939ba,The Luncheon on the Grass,the-luncheon-on-the-grass-1863,edouard-manet,Edouard Manet,57726d7eedc2cb3880b47e5b,1863,,,,,,
577274e7edc2cb3880cce547,Zodiac,zodiac-1896,alphonse-mucha,Alphonse Mucha,57726d85edc2cb3880b48df8,1896,,,,,,
57726f77edc2cb3880baa4c5,The Garden of Earthly Delights,the-garden-of-earthly-delights-1515-7,hieronymus-bosch,Hieronymus Bosch,57726d7fedc2cb3880b481c6,1515,,,,,,
57727103edc2cb3880c02a9f,Drawing Hands,drawing-hands,m-c-escher,M.C. Escher,57726d82edc2cb3880b48668,1948,,,,,,
57726ee6edc2cb3880b8adbb,Portrait of Adele Bloch-Bauer I,portrait-of-adele-bloch-bauer-i-1907-1,gustav-klimt,Gustav Klimt,57726d7eedc2cb3880b47e13,1907,,,,,,
57726e2fedc2cb3880b61b5c,Avond (Evening): The Red Tree,avond-evening-the-red-tree-1910,piet-mondrian,Piet Mondrian,57726d7bedc2cb3880b47ad4,1910,,,,,,
57726e8cedc2cb3880b76280,Jeanne Hebuterne,jeanne-hebuterne-1919,amedeo-modigliani,Amedeo Modigliani,57726d7dedc2cb3880b47cd4,1919,,,,,,
57726e82edc2cb3880b750a4,Composition IV,composition-iv-1911,wassily-kandinsky,Wassily Kandinsky,57726d7dedc2cb3880b47cb0,1911,,,,,,
57726e88edc2cb3880b75c2c,Yellow-Red-Blue,yellow-red-blue-1925,wassily-kandinsky,Wassily Kandinsky,57726d7dedc2cb3880b47cb0,1925,,,,,,
5772727dedc2cb3880c55a0b,Three Dancers in an Exercise Hall,three-dancers-in-an-exercise-hall,edgar-degas,Edgar Degas,57726d83edc2cb3880b489b9,1880,,,,,,
577275d8edc2cb3880cf7406,Girl with a White Dog,girl-with-a-white-dog,lucian-freud,Lucian Freud,57726d86edc2cb3880b490ab,1952,,,,,,
57726efcedc2cb3880b92bc4,The Desperate Man (Self-Portrait),the-desperate-man-self-portrait-1845,gustave-courbet,Gustave Courbet,57726d7eedc2cb3880b47e3f,1845,,,,,,
577275feedc2cb3880d008b8,Seated Woman with Bent Knee,seated-woman-with-bent-knee-1917,egon-schiele,Egon Schiele,57726d86edc2cb3880b49119,1917,,,,,,
57727671edc2cb3880d162f0,Chop Suey,chop-suey-1929,edward-hopper,Edward Hopper,57726d87edc2cb3880b49321,1929,,,,,,
57726e25edc2cb3880b60a48,The Scream,the-scream-1893,edvard-munch,Edvard Munch,57726d7bedc2cb3880b47a89,1893,,,,,,
577275e6edc2cb3880cf8b29,Dante and Virgil,dante-and-virgil-1850,william-adolphe-bouguereau,William-Adolphe Bouguereau,57726d86edc2cb3880b49101,1850,,,,,,
577270a9edc2cb3880bee499,Ad Parnassum,to-the-parnassus-1932,paul-klee,Paul Klee,57726d81edc2cb3880b483ee,1932,,,,,,
577273f6edc2cb3880ca526f,The Great Wave off Kanagawa,the-great-wave-of-kanagawa-1831,katsushika-hokusai,Katsushika Hokusai,57726d84edc2cb3880b48c21,1831,,,,,,
57726e41edc2cb3880b6935f,Netherlandish Proverbs,netherlandish-proverbs-1559,pieter-bruegel-the-elder,Pieter Bruegel the Elder,57726d7cedc2cb3880b47b32,1559,,,,,,
577270a8edc2cb3880bee249,Senecio,senecio-1922,paul-klee,Paul Klee,57726d81edc2cb3880b483ee,1922,,,,,,
57726e5cedc2cb3880b6baf8,Liberty Leading the People,the-liberty-leading-the-people-1830,eugene-delacroix,Eugene Delacroix,57726d7cedc2cb3880b47baa,1830,,,,,,
577274e5edc2cb3880cce204,Poster for Victorien Sardou`s Gismonda starring Sarah Bernhardt at the Th筌?벡媛퉡re de la Renaissance in Paris,poster-for-victorien-sardou-s-gismonda-starring-sarah-bernhardt-at-the-th筌?벡媛퉡re-de-la-1894,alphonse-mucha,Alphonse Mucha,57726d85edc2cb3880b48df8,1894,,,,,,
57726ee4edc2cb3880b8aa9d,University of Vienna Ceiling Paintings (Medicine)+ detail showing Hygieia,university-of-vienna-ceiling-paintings-medicine-detail-showing-hygieia-1907-1,gustav-klimt,Gustav Klimt,57726d7eedc2cb3880b47e13,1907,,,,,,
57726e2fedc2cb3880b61b1c,The Gray Tree,the-gray-tree-1911,piet-mondrian,Piet Mondrian,57726d7bedc2cb3880b47ad4,1911,,,,,,
5772700cedc2cb3880bc7ec7,The Eiffel Tower,the-eiffel-tower-1889,georges-seurat,Georges Seurat,57726d80edc2cb3880b482e1,1889,,,,,,
577274e6edc2cb3880cce324,Spring,spring-1896,alphonse-mucha,Alphonse Mucha,57726d85edc2cb3880b48df8,1896,,,,,,
57726f78edc2cb3880baa755,The Seven Deadly Sins and the Four Last Things (tabletop),the-seven-deadly-sins-and-the-four-last-things-1485,hieronymus-bosch,Hieronymus Bosch,57726d7fedc2cb3880b481c6,1485,,,,,,
57726efdedc2cb3880b92d9c,A Bar at the Folies-Bergere,a-bar-at-the-folies-bergere-1882-1,edouard-manet,Edouard Manet,57726d7eedc2cb3880b47e5b,1882,,,,,,
57726e40edc2cb3880b6921f,The Fight between Carnival and Lent,the-fight-between-carnival-and-lent-1559-1,pieter-bruegel-the-elder,Pieter Bruegel the Elder,57726d7cedc2cb3880b47b32,1559,,,,,,
5772759fedc2cb3880cec3ac,The Girl with a Pearl Earring,the-girl-with-a-pearl-earring,johannes-vermeer,Johannes Vermeer,57726d86edc2cb3880b48f87,1665,,,,,,
57727259edc2cb3880c4cb0a,Women in the garden,women-in-the-garden,claude-monet,Claude Monet,57726d83edc2cb3880b488f1,1866,,,,,,
57727638edc2cb3880d0b702,Rhythm,rhythm-1,robert-delaunay,Robert Delaunay,57726d87edc2cb3880b491d5,1912,,,,,,
57726e41edc2cb3880b6926f,Hunters in the Snow,hunters-in-the-snow-1565,pieter-bruegel-the-elder,Pieter Bruegel the Elder,57726d7cedc2cb3880b47b32,1565,,,,,,
57726f4fedc2cb3880ba0b6d,Saturn Devouring One of His Sons,saturn-devouring-his-son-1823-1,francisco-goya,Francisco Goya,57726d7fedc2cb3880b480ca,1823,,,,,,
57727373edc2cb3880c8a36c,The Return of the Prodigal Son,the-return-of-the-prodigal-son-1669,rembrandt,Rembrandt,57726d84edc2cb3880b48b73,1669,,,,,,
577272d6edc2cb3880c69b39,Mont Sainte-Victoire,mont-sainte-victoire-3,paul-cezanne,Paul Cezanne,57726d84edc2cb3880b48a5b,1895,,,,,,
57727893edc2cb3880d82d12,The problem we all live with,the-problem-we-all-live-with-1935,norman-rockwell,Norman Rockwell,57726d8aedc2cb3880b498e3,1964,,,,,,
57726f00edc2cb3880b9322d,Olympia,olympia-1863,edouard-manet,Edouard Manet,57726d7eedc2cb3880b47e5b,1863,,,,,,
577274e5edc2cb3880cce2b4,Sarah Bernhardt,sarah-bernhardt-1896,alphonse-mucha,Alphonse Mucha,57726d85edc2cb3880b48df8,1896,,,,,,
57726f4cedc2cb3880ba07ed,Nude Maja,nude-maja-1800,francisco-goya,Francisco Goya,57726d7fedc2cb3880b480ca,1800,,,,,,
57726f1fedc2cb3880b962c5,The Red Dragon and the Woman Clothed with the Sun,the-red-dragon-and-the-woman-clothed-with-the-sun-1805,william-blake,William Blake,57726d7eedc2cb3880b47f24,1805,,,,,,
57726ea6edc2cb3880b7e812,The Angelus,the-angelus-1859,jean-francois-millet,Jean-Francois Millet,57726d7dedc2cb3880b47d2a,1859,,,,,,
5772788bedc2cb3880d82158,Boy and Girl gazing at the Moon,boy-and-girl-gazing-at-the-moon-1926,norman-rockwell,Norman Rockwell,57726d8aedc2cb3880b498e3,1926,,,,,,
57727673edc2cb3880d1662e,Nighthawks,nighthawks,edward-hopper,Edward Hopper,57726d87edc2cb3880b49321,1942,,,,,,
57727102edc2cb3880c0288d,Circle Limit I,circle-limit-i,m-c-escher,M.C. Escher,57726d82edc2cb3880b48668,1958,,,,,,
57727448edc2cb3880cb8302,The Last Supper,the-last-supper-1495,leonardo-da-vinci,Leonardo da Vinci,57726d85edc2cb3880b48ccd,1495,,,,,,
5772791eedc2cb3880da0eee,Woman and Horses,woman-and-horses,octavio-ocampo,Octavio Ocampo,57726d8bedc2cb3880b49b4c,null,,,,,,
5772758fedc2cb3880cead4e,At the Moulin Rouge+ The Dance,at-the-moulin-rouge-the-dance-1890,henri-de-toulouse-lautrec,Henri de Toulouse-Lautrec,57726d86edc2cb3880b48f5d,1890,,,,,,
57727089edc2cb3880be55d5,Don Quixote and Sancho Setting Out,don-quixote-and-sancho-setting-out-1863,gustave-dore,Gustave Dore,57726d81edc2cb3880b48481,1863,,,,,,
